file_id,conversation,topic
2334,Agent 0.000000 1.004375 [silence],Credit Card
2334,Customer 0.000000 1.471750 all right,Credit Card
2334,Agent 1.004375 4.230750 well like i told you before [laughter],Credit Card
2334,Customer 1.471750 8.137500 [silence],Credit Card
2334,Agent 4.230750 5.257500 [laughter],Credit Card
2334,Agent 5.257500 8.560750 and you're talking about [noise] credit cards,Credit Card
2334,Customer 8.137500 9.674250 um-hum,Credit Card
2334,Agent 8.560750 10.377375 [noise] we put ours up,Credit Card
2334,Customer 9.674250 15.418000 [silence],Credit Card
2334,Agent 10.377375 15.857250 i mean i had a delightful evening one [laughter-night] cutting a bunch of those suckers up,Credit Card
2334,Customer 15.418000 17.741000 um i wish i had,Credit Card
2334,Agent 15.857250 17.210875 [silence],Credit Card
2334,Agent 17.210875 19.773375 well you should try it,Credit Card
2334,Customer 17.741000 19.165750 [silence],Credit Card
2334,Customer 19.165750 26.150375 well i it was done for me after a while i had a uh i had a business going,Credit Card
2334,Agent 19.773375 40.023375 [silence],Credit Card
2334,Customer 26.150375 33.717875 and this was back in the eighties i don't know if you remember the gold and silver prices and all that,Credit Card
2334,Customer 33.717875 36.352125 but uh i had a coin shop,Credit Card
2334,Customer 36.352125 40.712125 and everything was going great while gold and silver was up and it started falling,Credit Card
2334,Agent 40.023375 41.551875 yeah,Credit Card
2334,Customer 40.712125 50.410375 so i started paying expenses and stuff on my credit cards and things got worse and worse and finally boom,Credit Card
2334,Agent 41.551875 49.629875 [silence],Credit Card
2334,Agent 49.629875 55.332250 you lost your business oh Go[d]- what a [laughter-nightmare],Credit Card
2334,Customer 50.410375 52.066000 yep,Credit Card
2334,Customer 52.066000 53.108375 [silence],Credit Card
2334,Customer 53.108375 63.361750 yeah yeah it was i ended up going into bank[ruptcy]- you know it was one of those things [noise] uh oh it'll get better next week you know [noise] things will pick up,Credit Card
2334,Agent 55.332250 68.825625 [silence],Credit Card
2334,Customer 63.361750 68.603125 and so there i was in old bankruptcy court,Credit Card
2334,Customer 68.603125 73.244000 [silence],Credit Card
2334,Agent 68.825625 73.166500 well you weren't charging gold and silver were you you can't do that can you,Credit Card
2334,Agent 73.166500 74.284000 [silence],Credit Card
2334,Customer 73.244000 75.242750 oh yeah yeah,Credit Card
2334,Agent 74.284000 75.967875 oh you can [noise],Credit Card
2334,Customer 75.242750 78.994625 oh yeah yeah i was buying from other dealers and uh,Credit Card
2334,Agent 75.967875 81.159250 [silence],Credit Card
2334,Customer 78.994625 81.455750 you know they take payment any way they can get it,Credit Card
2334,Agent 81.159250 84.205375 [noise] oh that's a nightmare [noise],Credit Card
2334,Customer 81.455750 82.745500 [silence],Credit Card
2334,Customer 82.745500 93.488500 yeah course on on stuff that i was [vocalized-noise] on merchandise that i was buying on cards it was i was getting the money back because_1 i was selling it i wasn't buying you know just to hold onto it,Credit Card
2334,Agent 84.205375 103.641625 [silence],Credit Card
2334,Customer 93.488500 94.842750 um,Credit Card
2334,Customer 94.842750 100.774000 but it was things like you know rent and phone bills and advertising and,Credit Card
2334,Customer 100.774000 104.518375 all that other good stuff that ate them_1 all up,Credit Card
2334,Agent 103.641625 104.958000 um,Credit Card
2334,Customer 104.518375 106.363000 so,Credit Card
2334,Agent 104.958000 115.475000 well [noise] i remember before i got married you know when you graduate from college they'll send you all those credit card applications you know of course you fill them_1 all out because_1 you're honored [laughter-right] and uh,Credit Card
2334,Customer 106.363000 109.569750 [silence],Credit Card
2334,Customer 109.569750 111.038375 um-hum,Credit Card
2334,Customer 111.038375 112.750375 um-hum,Credit Card
2334,Customer 112.750375 114.696375 sure,Credit Card
2334,Customer 114.696375 122.309500 [silence],Credit Card
2334,Agent 115.475000 125.976500 i had stuff for like Sanger Harris and you know it got up like to couple of hundred dollars and i thought well that's okay cause all they wanted was ten dollars a month right [noise] i wasn't thinking a thing about it,Credit Card
2334,Customer 122.309500 124.627250 um-hum yes,Credit Card
2334,Customer 124.627250 126.931250 that's the way they suck you in,Credit Card
2334,Agent 125.976500 132.899875 yeah i was just stupid and every time they had a sale there i was because_1 you know got get such good bargains [noise],Credit Card
2334,Customer 126.931250 129.213750 [silence],Credit Card
2334,Customer 129.213750 130.729500 um-hum,Credit Card
2334,Customer 130.729500 131.932875 [silence],Credit Card
2334,Customer 131.932875 133.613875 um-hum,Credit Card
2334,Agent 132.899875 134.663875 and i don't know [noise],Credit Card
2334,Customer 133.613875 136.796125 [noise] well just today in the mail i got uh,Credit Card
2334,Agent 134.663875 142.431500 [silence],Credit Card
2334,Customer 136.796125 138.858750 i got got my,Credit Card
2334,Customer 138.858750 143.372000 guaranteed acceptance by uh American Express,Credit Card
2334,Agent 142.431500 144.622250 oh yeah we've been getting those,Credit Card
2334,Customer 143.372000 145.063625 yeah,Credit Card
2334,Agent 144.622250 149.126750 i went back to school and got my Master's and they started sending those things to me again,Credit Card
2334,Customer 145.063625 147.701875 [silence],Credit Card
2334,Customer 147.701875 151.345875 yeah as soon as your a graduate student they get your name,Credit Card
2334,Agent 149.126750 150.384625 [silence],Credit Card
2334,Agent 150.384625 152.356750 yeah they did,Credit Card
2334,Customer 151.345875 153.350375 and uh,Credit Card
2334,Agent 152.356750 161.442375 [silence],Credit Card
2334,Customer 153.350375 158.800875 course i guess i guess i've been purged from their records i used to have an American Express,Credit Card
2334,Customer 158.800875 161.922000 uh back when i had my business i got one,Credit Card
2334,Agent 161.442375 162.873125 uh-huh,Credit Card
2334,Customer 161.922000 163.439625 and,Credit Card
2334,Agent 162.873125 171.333500 [silence],Credit Card
2334,Customer 163.439625 171.970625 they they goofed up bad on my fir[st]- on my very first bill because_1 i was using the American Express strictly for the travel expenses,Credit Card
2334,Agent 171.333500 172.592875 yeah,Credit Card
2334,Customer 171.970625 181.250625 and the bill would come in and i'd pay it and the very first bill i paid it and then i got this nasty letter from them saying you're overdue pay,Credit Card
2334,Agent 172.592875 200.921250 [silence],Credit Card
